# Exported mask 'geometry' on 23-Jun-2016 09:31:47.000031
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13779.5	13406.5	28.37218733063909	-25.617735650672362	1604	1267	1041	779	953	1479	1686	1633	1837	586	15	1266	662	54.93544	30.730333	5.894018	86.4347	0.0
13780.5	13406.5	28.372286904200095	-25.61773471565457	1604	1263	1031	799	1011	1616	1787	1817	1931	586	15	1318	773	54.93539	30.730238	5.8933344	86.42082	0.0
13781.5	13406.5	28.372386477756173	-25.61773378056898	1604	1287	1044	839	1011	1616	1787	1706	1931	586	15	1318	773	54.935345	30.730143	5.892651	86.406944	0.0
13782.5	13406.5	28.372486051307302	-25.61773284541558	1620	1276	1020	783	975	1545	1795	1690	1896	602	17	1365	744	54.9353	30.730047	5.891968	86.39307	0.0
13783.5	13406.5	28.372585624853496	-25.617731910194383	1620	1262	1022	785	975	1545	1795	1739	1896	602	17	1365	744	54.935253	30.729952	5.891284	86.37919	0.0
13784.5	13406.5	28.37268519839475	-25.617730974905378	1620	1280	1033	808	984	1547	1729	1634	1810	602	17	1356	751	54.935207	30.729855	5.8906007	86.36531	0.0
13785.5	13406.5	28.372784771931062	-25.617730039548576	1620	1262	1027	813	984	1547	1729	1563	1810	602	17	1356	751	54.93516	30.72976	5.8899174	86.35143	0.0
13786.5	13406.5	28.37288434546243	-25.617729104123963	1620	1277	1029	824	1008	1580	1764	1586	1836	602	17	1430	826	54.935116	30.729664	5.889234	86.337555	0.0
13787.5	13406.5	28.37298391898886	-25.617728168631555	1620	1280	1034	846	1008	1580	1764	1668	1836	602	17	1430	826	54.93507	30.729568	5.8885503	86.32368	0.0
13788.5	13406.5	28.373083492510354	-25.617727233071335	1636	1285	1040	838	1033	1632	1854	1787	1999	653	14	1522	873	54.935024	30.729473	5.887867	86.3098	0.0
13789.5	13406.5	28.3731830660269	-25.61772629744332	1636	1289	1049	854	1033	1632	1854	1771	1999	653	14	1522	873	54.934975	30.729376	5.8871837	86.29592	0.0
13790.5	13406.5	28.373282639538505	-25.6177253617475	1636	1275	1052	861	1070	1682	1906	1742	2041	653	14	1666	963	54.93493	30.72928	5.8865	86.28204	0.0
13791.5	13406.5	28.373382213045165	-25.617724425983873	1636	1306	1066	898	1070	1682	1906	1866	2041	653	14	1666	963	54.934883	30.729185	5.8858166	86.268166	0.0
13792.5	13406.5	28.37348178654689	-25.617723490152446	1636	1316	1080	913	1120	1700	1938	1876	2082	653	14	1797	1055	54.934837	30.72909	5.8851333	86.25429	0.0
13746.5	13407.5	28.3689024291551	-25.61785674569086	1661	1339	1111	949	1144	1722	1987	1930	2161	732	14	1711	980	54.93704	30.733456	5.9165473	86.859276	0.0
13747.5	13407.5	28.36900200295367	-25.617855812906825	1661	1330	1108	955	1144	1722	1987	2029	2161	732	14	1711	980	54.936993	30.733358	5.9158635	86.84553	0.0
13748.5	13407.5	28.369101576747315	-25.61785488005499	1661	1310	1098	993	1140	1754	2034	2013	2226	732	14	1730	1000	54.936943	30.733263	5.9151793	86.83178	0.0
13749.5	13407.5	28.36920115053603	-25.61785394713535	1661	1303	1107	889	1140	1754	2034	1968	2226	732	14	1730	1000	54.936897	30.733168	5.914495	86.81803	0.0
13750.5	13407.5	28.369300724319817	-25.6178530141479	1661	1272	1093	849	1137	1853	2081	2076	2289	732	14	1686	984	54.93685	30.733072	5.913811	86.804276	0.0
13751.5	13407.5	28.36940029809867	-25.617852081092654	1661	1289	1070	869	1137	1853	2081	2202	2289	732	14	1686	984	54.936806	30.732977	5.913127	86.79053	0.0
13752.5	13407.5	28.36949987187261	-25.617851147969603	1638	1303	1089	920	1154	1858	2110	2151	2273	744	15	1749	988	54.93676	30.73288	5.912443	86.77678	0.0
13753.5	13407.5	28.369599445641608	-25.617850214778745	1638	1307	1095	916	1154	1858	2110	2181	2273	744	15	1749	988	54.936714	30.732784	5.911759	86.76303	0.0
13754.5	13407.5	28.36969901940568	-25.617849281520083	1638	1277	1053	868	1131	1897	2154	2197	2331	744	15	1723	956	54.93667	30.732689	5.9110746	86.74928	0.0
13755.5	13407.5	28.369798593164827	-25.617848348193615	1638	1285	1075	875	1131	1897	2154	2090	2331	744	15	1723	956	54.936623	30.732594	5.910391	86.735535	0.0
13756.5	13407.5	28.369898166919036	-25.61784741479935	1638	1312	1117	960	1224	1903	2158	2087	2382	744	15	1978	1158	54.936577	30.732498	5.9097066	86.72178	0.0
13757.5	13407.5	28.36999774066832	-25.617846481337274	1638	1321	1159	1082	1224	1903	2158	2188	2382	744	15	1978	1158	54.936527	30.7324	5.909023	86.70803	0.0
13758.5	13407.5	28.37009731441267	-25.617845547807406	1666	1341	1162	1165	1356	1943	2148	2141	2406	801	13	2334	1463	54.93648	30.732306	5.9083385	86.69428	0.0
13759.5	13407.5	28.370196888152094	-25.617844614209726	1666	1354	1166	1144	1356	1943	2148	2102	2406	801	13	2334	1463	54.936436	30.73221	5.907655	86.680534	0.0
13760.5	13407.5	28.370296461886586	-25.617843680544244	1666	1346	1171	1128	1346	1906	2171	2027	2388	801	13	2364	1475	54.93639	30.732115	5.9069705	86.66679	0.0
13761.5	13407.5	28.370396035616142	-25.61784274681095	1666	1372	1174	1124	1346	1906	2171	2073	2388	801	13	2364	1475	54.936344	30.73202	5.9062862	86.65303	0.0
